index,Quarter,AdmissionType,SpecialtyName,Episodes,LengthOfEpisode,Stays,LengthOfStay,HBName,LocationName
42,2015Q4,Elective Inpatients,Endocrinology & Diabetes,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
43,2016Q1,Elective Inpatients,Endocrinology & Diabetes,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
44,2016Q2,Elective Inpatients,Endocrinology & Diabetes,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
45,2016Q3,Elective Inpatients,Endocrinology & Diabetes,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
46,2017Q1,Elective Inpatients,Endocrinology & Diabetes,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
47,2014Q4,Elective Inpatients,Gastroenterology,0,10,0,10,NHS Ayrshire and Arran,University Hospital Ayr
48,2015Q1,Elective Inpatients,Gastroenterology,5,5,5,5,NHS Ayrshire and Arran,University Hospital Ayr
49,2015Q2,Elective Inpatients,Gastroenterology,5,0,5,0,NHS Ayrshire and Arran,University Hospital Ayr
50,2015Q3,Elective Inpatients,Gastroenterology,0,0,5,5,NHS Ayrshire and Arran,University Hospital Ayr
51,2015Q4,Elective Inpatients,Gastroenterology,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
52,2016Q1,Elective Inpatients,Gastroenterology,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
53,2016Q2,Elective Inpatients,Gastroenterology,0,5,0,5,NHS Ayrshire and Arran,University Hospital Ayr
54,2016Q3,Elective Inpatients,Gastroenterology,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
55,2016Q4,Elective Inpatients,Gastroenterology,0,10,0,10,NHS Ayrshire and Arran,University Hospital Ayr
56,2017Q1,Elective Inpatients,Gastroenterology,5,5,5,5,NHS Ayrshire and Arran,University Hospital Ayr
57,2017Q2,Elective Inpatients,Gastroenterology,0,26,5,25,NHS Ayrshire and Arran,University Hospital Ayr
58,2017Q3,Elective Inpatients,Gastroenterology,0,7,0,7,NHS Ayrshire and Arran,University Hospital Ayr
59,2014Q4,Elective Inpatients,Medical Oncology,20,39,20,39,NHS Ayrshire and Arran,University Hospital Ayr
60,2015Q1,Elective Inpatients,Medical Oncology,19,34,20,34,NHS Ayrshire and Arran,University Hospital Ayr
61,2015Q2,Elective Inpatients,Medical Oncology,19,37,20,37,NHS Ayrshire and Arran,University Hospital Ayr
62,2015Q3,Elective Inpatients,Medical Oncology,30,69,30,71,NHS Ayrshire and Arran,University Hospital Ayr
63,2015Q4,Elective Inpatients,Medical Oncology,5,14,5,15,NHS Ayrshire and Arran,University Hospital Ayr
64,2016Q1,Elective Inpatients,Medical Oncology,10,14,10,15,NHS Ayrshire and Arran,University Hospital Ayr
65,2016Q2,Elective Inpatients,Medical Oncology,10,10,10,10,NHS Ayrshire and Arran,University Hospital Ayr
66,2016Q3,Elective Inpatients,Medical Oncology,10,15,10,15,NHS Ayrshire and Arran,University Hospital Ayr
67,2016Q4,Elective Inpatients,Medical Oncology,15,25,15,25,NHS Ayrshire and Arran,University Hospital Ayr
68,2017Q1,Elective Inpatients,Medical Oncology,5,9,5,10,NHS Ayrshire and Arran,University Hospital Ayr
69,2017Q2,Elective Inpatients,Medical Oncology,10,20,10,20,NHS Ayrshire and Arran,University Hospital Ayr
70,2017Q3,Elective Inpatients,Medical Oncology,15,21,18,21,NHS Ayrshire and Arran,University Hospital Ayr
71,2017Q4,Elective Inpatients,Medical Oncology,16,56,17,56,NHS Ayrshire and Arran,University Hospital Ayr
72,2018Q1,Elective Inpatients,Medical Oncology,5,5,5,10,NHS Ayrshire and Arran,University Hospital Ayr
73,2018Q2,Elective Inpatients,Medical Oncology,5,10,10,15,NHS Ayrshire and Arran,University Hospital Ayr
74,2018Q3,Elective Inpatients,Medical Oncology,5,6,5,15,NHS Ayrshire and Arran,University Hospital Ayr
75,2018Q4,Elective Inpatients,Medical Oncology,5,19,5,19,NHS Ayrshire and Arran,University Hospital Ayr
76,2019Q1,Elective Inpatients,Medical Oncology,5,5,5,5,NHS Ayrshire and Arran,University Hospital Ayr
77,2019Q2,Elective Inpatients,Medical Oncology,10,17,10,15,NHS Ayrshire and Arran,University Hospital Ayr
78,2019Q3,Elective Inpatients,Medical Oncology,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
79,2014Q4,Elective Inpatients,Respiratory Medicine,15,20,17,35,NHS Ayrshire and Arran,University Hospital Ayr
80,2015Q1,Elective Inpatients,Respiratory Medicine,10,20,10,18,NHS Ayrshire and Arran,University Hospital Ayr
81,2015Q2,Elective Inpatients,Respiratory Medicine,5,15,10,20,NHS Ayrshire and Arran,University Hospital Ayr
82,2015Q3,Elective Inpatients,Respiratory Medicine,15,10,17,15,NHS Ayrshire and Arran,University Hospital Ayr
83,2015Q4,Elective Inpatients,Respiratory Medicine,5,15,5,15,NHS Ayrshire and Arran,University Hospital Ayr
84,2016Q1,Elective Inpatients,Respiratory Medicine,20,35,20,35,NHS Ayrshire and Arran,University Hospital Ayr
85,2016Q2,Elective Inpatients,Respiratory Medicine,10,20,10,20,NHS Ayrshire and Arran,University Hospital Ayr
86,2016Q3,Elective Inpatients,Respiratory Medicine,10,30,10,45,NHS Ayrshire and Arran,University Hospital Ayr
87,2016Q4,Elective Inpatients,Respiratory Medicine,5,10,5,10,NHS Ayrshire and Arran,University Hospital Ayr
88,2017Q1,Elective Inpatients,Respiratory Medicine,11,20,10,20,NHS Ayrshire and Arran,University Hospital Ayr
89,2017Q2,Elective Inpatients,Respiratory Medicine,5,45,5,45,NHS Ayrshire and Arran,University Hospital Ayr
90,2018Q1,Elective Inpatients,Respiratory Medicine,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
91,2019Q2,Elective Inpatients,Respiratory Medicine,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
92,2015Q3,Elective Inpatients,Rheumatology,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
93,2015Q4,Elective Inpatients,Rheumatology,0,5,0,5,NHS Ayrshire and Arran,University Hospital Ayr
94,2016Q4,Elective Inpatients,Rheumatology,0,5,0,5,NHS Ayrshire and Arran,University Hospital Ayr
95,2017Q1,Elective Inpatients,Rheumatology,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
96,2014Q4,Elective Inpatients,General Surgery,261,1035,260,1230,NHS Ayrshire and Arran,University Hospital Ayr
97,2015Q1,Elective Inpatients,General Surgery,288,640,290,1016,NHS Ayrshire and Arran,University Hospital Ayr
98,2015Q2,Elective Inpatients,General Surgery,283,1000,281,1193,NHS Ayrshire and Arran,University Hospital Ayr
99,2015Q3,Elective Inpatients,General Surgery,250,930,260,1336,NHS Ayrshire and Arran,University Hospital Ayr
100,2015Q4,Elective Inpatients,General Surgery,264,965,270,1196,NHS Ayrshire and Arran,University Hospital Ayr
101,2016Q1,Elective Inpatients,General Surgery,189,695,195,893,NHS Ayrshire and Arran,University Hospital Ayr
102,2016Q2,Elective Inpatients,General Surgery,215,830,215,925,NHS Ayrshire and Arran,University Hospital Ayr
103,2016Q3,Elective Inpatients,General Surgery,212,655,220,823,NHS Ayrshire and Arran,University Hospital Ayr
104,2016Q4,Elective Inpatients,General Surgery,194,925,202,1145,NHS Ayrshire and Arran,University Hospital Ayr
105,2017Q1,Elective Inpatients,General Surgery,230,805,233,960,NHS Ayrshire and Arran,University Hospital Ayr
106,2017Q2,Elective Inpatients,General Surgery,179,675,180,794,NHS Ayrshire and Arran,University Hospital Ayr
107,2017Q3,Elective Inpatients,General Surgery,187,675,195,781,NHS Ayrshire and Arran,University Hospital Ayr
108,2017Q4,Elective Inpatients,General Surgery,195,740,200,984,NHS Ayrshire and Arran,University Hospital Ayr
109,2018Q1,Elective Inpatients,General Surgery,170,580,170,831,NHS Ayrshire and Arran,University Hospital Ayr
110,2018Q2,Elective Inpatients,General Surgery,172,710,175,942,NHS Ayrshire and Arran,University Hospital Ayr
111,2018Q3,Elective Inpatients,General Surgery,176,695,183,920,NHS Ayrshire and Arran,University Hospital Ayr
112,2018Q4,Elective Inpatients,General Surgery,176,700,185,936,NHS Ayrshire and Arran,University Hospital Ayr
113,2019Q1,Elective Inpatients,General Surgery,205,650,205,818,NHS Ayrshire and Arran,University Hospital Ayr
114,2019Q2,Elective Inpatients,General Surgery,203,640,210,936,NHS Ayrshire and Arran,University Hospital Ayr
115,2019Q3,Elective Inpatients,General Surgery,167,630,170,820,NHS Ayrshire and Arran,University Hospital Ayr
116,2014Q4,Elective Inpatients,Ophthalmology,31,34,30,35,NHS Ayrshire and Arran,University Hospital Ayr
117,2015Q1,Elective Inpatients,Ophthalmology,20,25,25,25,NHS Ayrshire and Arran,University Hospital Ayr
118,2015Q2,Elective Inpatients,Ophthalmology,10,20,11,20,NHS Ayrshire and Arran,University Hospital Ayr
119,2015Q3,Elective Inpatients,Ophthalmology,20,32,20,30,NHS Ayrshire and Arran,University Hospital Ayr
120,2015Q4,Elective Inpatients,Ophthalmology,15,15,16,15,NHS Ayrshire and Arran,University Hospital Ayr
121,2016Q1,Elective Inpatients,Ophthalmology,5,5,10,10,NHS Ayrshire and Arran,University Hospital Ayr
122,2016Q2,Elective Inpatients,Ophthalmology,5,5,5,5,NHS Ayrshire and Arran,University Hospital Ayr
123,2016Q3,Elective Inpatients,Ophthalmology,10,17,11,15,NHS Ayrshire and Arran,University Hospital Ayr
124,2016Q4,Elective Inpatients,Ophthalmology,10,15,11,15,NHS Ayrshire and Arran,University Hospital Ayr
125,2017Q1,Elective Inpatients,Ophthalmology,15,17,18,20,NHS Ayrshire and Arran,University Hospital Ayr
126,2017Q2,Elective Inpatients,Ophthalmology,10,9,10,10,NHS Ayrshire and Arran,University Hospital Ayr
127,2017Q3,Elective Inpatients,Ophthalmology,0,12,5,10,NHS Ayrshire and Arran,University Hospital Ayr
128,2017Q4,Elective Inpatients,Ophthalmology,10,10,10,10,NHS Ayrshire and Arran,University Hospital Ayr
129,2018Q1,Elective Inpatients,Ophthalmology,10,22,10,20,NHS Ayrshire and Arran,University Hospital Ayr
130,2018Q2,Elective Inpatients,Ophthalmology,15,20,15,25,NHS Ayrshire and Arran,University Hospital Ayr
131,2018Q3,Elective Inpatients,Ophthalmology,10,21,10,20,NHS Ayrshire and Arran,University Hospital Ayr
132,2018Q4,Elective Inpatients,Ophthalmology,25,33,25,35,NHS Ayrshire and Arran,University Hospital Ayr
133,2019Q1,Elective Inpatients,Ophthalmology,10,13,10,13,NHS Ayrshire and Arran,University Hospital Ayr
134,2019Q2,Elective Inpatients,Ophthalmology,13,15,13,15,NHS Ayrshire and Arran,University Hospital Ayr
135,2019Q3,Elective Inpatients,Ophthalmology,5,5,5,5,NHS Ayrshire and Arran,University Hospital Ayr
136,2014Q4,Elective Inpatients,Trauma and Orthopaedic Surgery,207,730,208,750,NHS Ayrshire and Arran,University Hospital Ayr
137,2015Q1,Elective Inpatients,Trauma and Orthopaedic Surgery,131,374,130,374,NHS Ayrshire and Arran,University Hospital Ayr
138,2015Q2,Elective Inpatients,Trauma and Orthopaedic Surgery,215,818,215,820,NHS Ayrshire and Arran,University Hospital Ayr
139,2015Q3,Elective Inpatients,Trauma and Orthopaedic Surgery,188,650,188,655,NHS Ayrshire and Arran,University Hospital Ayr
140,2015Q4,Elective Inpatients,Trauma and Orthopaedic Surgery,183,724,180,705,NHS Ayrshire and Arran,University Hospital Ayr
141,2016Q1,Elective Inpatients,Trauma and Orthopaedic Surgery,158,963,160,995,NHS Ayrshire and Arran,University Hospital Ayr
142,2016Q2,Elective Inpatients,Trauma and Orthopaedic Surgery,162,660,162,710,NHS Ayrshire and Arran,University Hospital Ayr
143,2016Q3,Elective Inpatients,Trauma and Orthopaedic Surgery,142,615,140,616,NHS Ayrshire and Arran,University Hospital Ayr
144,2016Q4,Elective Inpatients,Trauma and Orthopaedic Surgery,202,705,200,690,NHS Ayrshire and Arran,University Hospital Ayr
145,2017Q1,Elective Inpatients,Trauma and Orthopaedic Surgery,195,748,199,780,NHS Ayrshire and Arran,University Hospital Ayr
146,2017Q2,Elective Inpatients,Trauma and Orthopaedic Surgery,181,686,181,705,NHS Ayrshire and Arran,University Hospital Ayr
147,2017Q3,Elective Inpatients,Trauma and Orthopaedic Surgery,158,583,160,637,NHS Ayrshire and Arran,University Hospital Ayr
148,2017Q4,Elective Inpatients,Trauma and Orthopaedic Surgery,193,723,195,730,NHS Ayrshire and Arran,University Hospital Ayr
149,2018Q1,Elective Inpatients,Trauma and Orthopaedic Surgery,186,710,185,721,NHS Ayrshire and Arran,University Hospital Ayr
150,2018Q2,Elective Inpatients,Trauma and Orthopaedic Surgery,183,629,186,670,NHS Ayrshire and Arran,University Hospital Ayr
151,2018Q3,Elective Inpatients,Trauma and Orthopaedic Surgery,150,557,151,565,NHS Ayrshire and Arran,University Hospital Ayr
152,2018Q4,Elective Inpatients,Trauma and Orthopaedic Surgery,182,573,184,605,NHS Ayrshire and Arran,University Hospital Ayr
153,2019Q1,Elective Inpatients,Trauma and Orthopaedic Surgery,179,577,179,580,NHS Ayrshire and Arran,University Hospital Ayr
154,2019Q2,Elective Inpatients,Trauma and Orthopaedic Surgery,187,609,185,609,NHS Ayrshire and Arran,University Hospital Ayr
155,2019Q3,Elective Inpatients,Trauma and Orthopaedic Surgery,197,653,200,664,NHS Ayrshire and Arran,University Hospital Ayr
156,2014Q4,Elective Inpatients,Plastic Surgery,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
157,2015Q1,Elective Inpatients,Plastic Surgery,5,5,5,5,NHS Ayrshire and Arran,University Hospital Ayr
158,2015Q2,Elective Inpatients,Plastic Surgery,0,0,5,0,NHS Ayrshire and Arran,University Hospital Ayr
159,2015Q3,Elective Inpatients,Plastic Surgery,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
160,2015Q4,Elective Inpatients,Plastic Surgery,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
161,2017Q4,Elective Inpatients,Plastic Surgery,0,0,5,0,NHS Ayrshire and Arran,University Hospital Ayr
162,2018Q4,Elective Inpatients,Plastic Surgery,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
163,2019Q1,Elective Inpatients,Plastic Surgery,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
164,2019Q3,Elective Inpatients,Plastic Surgery,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
165,2014Q4,Elective Inpatients,Urology,418,846,415,975,NHS Ayrshire and Arran,University Hospital Ayr
166,2015Q1,Elective Inpatients,Urology,425,742,427,962,NHS Ayrshire and Arran,University Hospital Ayr
167,2015Q2,Elective Inpatients,Urology,413,700,416,852,NHS Ayrshire and Arran,University Hospital Ayr
168,2015Q3,Elective Inpatients,Urology,400,680,398,733,NHS Ayrshire and Arran,University Hospital Ayr
169,2015Q4,Elective Inpatients,Urology,354,477,360,710,NHS Ayrshire and Arran,University Hospital Ayr
170,2016Q1,Elective Inpatients,Urology,289,410,287,577,NHS Ayrshire and Arran,University Hospital Ayr
171,2016Q2,Elective Inpatients,Urology,369,490,371,572,NHS Ayrshire and Arran,University Hospital Ayr
172,2016Q3,Elective Inpatients,Urology,277,440,278,495,NHS Ayrshire and Arran,University Hospital Ayr
173,2016Q4,Elective Inpatients,Urology,292,355,295,546,NHS Ayrshire and Arran,University Hospital Ayr
174,2017Q1,Elective Inpatients,Urology,268,501,270,535,NHS Ayrshire and Arran,University Hospital Ayr
175,2017Q2,Elective Inpatients,Urology,254,405,255,410,NHS Ayrshire and Arran,University Hospital Ayr
176,2017Q3,Elective Inpatients,Urology,224,380,225,475,NHS Ayrshire and Arran,University Hospital Ayr
177,2017Q4,Elective Inpatients,Urology,211,372,215,483,NHS Ayrshire and Arran,University Hospital Ayr
178,2018Q1,Elective Inpatients,Urology,178,309,180,370,NHS Ayrshire and Arran,University Hospital Ayr
179,2018Q2,Elective Inpatients,Urology,202,382,203,475,NHS Ayrshire and Arran,University Hospital Ayr
180,2018Q3,Elective Inpatients,Urology,219,355,225,515,NHS Ayrshire and Arran,University Hospital Ayr
181,2018Q4,Elective Inpatients,Urology,256,323,255,473,NHS Ayrshire and Arran,University Hospital Ayr
182,2019Q1,Elective Inpatients,Urology,251,336,250,435,NHS Ayrshire and Arran,University Hospital Ayr
183,2019Q2,Elective Inpatients,Urology,226,332,230,505,NHS Ayrshire and Arran,University Hospital Ayr
184,2019Q3,Elective Inpatients,Urology,198,260,200,287,NHS Ayrshire and Arran,University Hospital Ayr
185,2015Q2,Elective Inpatients,Clinical Radiology,0,0,5,0,NHS Ayrshire and Arran,University Hospital Ayr
186,2014Q4,Elective Inpatients,Clinical Oncology,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
187,2015Q3,Elective Inpatients,Clinical Oncology,0,0,0,7,NHS Ayrshire and Arran,University Hospital Ayr
188,2014Q4,Elective Inpatients,Haematology,30,113,31,125,NHS Ayrshire and Arran,University Hospital Ayr
189,2015Q1,Elective Inpatients,Haematology,39,420,40,430,NHS Ayrshire and Arran,University Hospital Ayr
190,2015Q2,Elective Inpatients,Haematology,30,171,32,180,NHS Ayrshire and Arran,University Hospital Ayr
191,2015Q3,Elective Inpatients,Haematology,29,120,30,130,NHS Ayrshire and Arran,University Hospital Ayr
192,2015Q4,Elective Inpatients,Haematology,30,86,33,85,NHS Ayrshire and Arran,University Hospital Ayr
193,2016Q1,Elective Inpatients,Haematology,26,133,30,155,NHS Ayrshire and Arran,University Hospital Ayr
194,2016Q2,Elective Inpatients,Haematology,22,164,23,170,NHS Ayrshire and Arran,University Hospital Ayr
195,2016Q3,Elective Inpatients,Haematology,27,121,29,125,NHS Ayrshire and Arran,University Hospital Ayr
196,2016Q4,Elective Inpatients,Haematology,43,185,44,210,NHS Ayrshire and Arran,University Hospital Ayr
197,2017Q1,Elective Inpatients,Haematology,29,85,29,85,NHS Ayrshire and Arran,University Hospital Ayr
198,2017Q2,Elective Inpatients,Haematology,28,218,30,190,NHS Ayrshire and Arran,University Hospital Ayr
199,2017Q3,Elective Inpatients,Haematology,26,145,30,188,NHS Ayrshire and Arran,University Hospital Ayr
200,2017Q4,Elective Inpatients,Haematology,26,117,28,126,NHS Ayrshire and Arran,University Hospital Ayr
201,2018Q1,Elective Inpatients,Haematology,44,209,44,210,NHS Ayrshire and Arran,University Hospital Ayr
202,2018Q2,Elective Inpatients,Haematology,19,84,20,84,NHS Ayrshire and Arran,University Hospital Ayr
203,2018Q3,Elective Inpatients,Haematology,23,160,24,245,NHS Ayrshire and Arran,University Hospital Ayr
204,2018Q4,Elective Inpatients,Haematology,27,159,32,160,NHS Ayrshire and Arran,University Hospital Ayr
205,2019Q1,Elective Inpatients,Haematology,32,106,34,110,NHS Ayrshire and Arran,University Hospital Ayr
206,2019Q2,Elective Inpatients,Haematology,23,130,25,165,NHS Ayrshire and Arran,University Hospital Ayr
207,2019Q3,Elective Inpatients,Haematology,23,195,25,204,NHS Ayrshire and Arran,University Hospital Ayr
208,2014Q4,Elective Inpatients,General Medicine,18,30,25,66,NHS Ayrshire and Arran,University Hospital Crosshouse
209,2015Q1,Elective Inpatients,General Medicine,13,15,14,15,NHS Ayrshire and Arran,University Hospital Crosshouse
210,2015Q2,Elective Inpatients,General Medicine,12,15,21,20,NHS Ayrshire and Arran,University Hospital Crosshouse
211,2015Q3,Elective Inpatients,General Medicine,5,5,15,15,NHS Ayrshire and Arran,University Hospital Crosshouse
212,2015Q4,Elective Inpatients,General Medicine,5,5,10,10,NHS Ayrshire and Arran,University Hospital Crosshouse
213,2016Q1,Elective Inpatients,General Medicine,35,100,45,143,NHS Ayrshire and Arran,University Hospital Crosshouse
214,2016Q2,Elective Inpatients,General Medicine,70,315,85,460,NHS Ayrshire and Arran,University Hospital Crosshouse
215,2016Q3,Elective Inpatients,General Medicine,53,220,65,357,NHS Ayrshire and Arran,University Hospital Crosshouse
216,2016Q4,Elective Inpatients,General Medicine,32,115,45,173,NHS Ayrshire and Arran,University Hospital Crosshouse
217,2017Q1,Elective Inpatients,General Medicine,49,160,60,212,NHS Ayrshire and Arran,University Hospital Crosshouse
218,2017Q2,Elective Inpatients,General Medicine,52,330,60,388,NHS Ayrshire and Arran,University Hospital Crosshouse
219,2017Q3,Elective Inpatients,General Medicine,41,215,50,406,NHS Ayrshire and Arran,University Hospital Crosshouse
220,2017Q4,Elective Inpatients,General Medicine,48,260,65,380,NHS Ayrshire and Arran,University Hospital Crosshouse
221,2018Q1,Elective Inpatients,General Medicine,27,180,41,273,NHS Ayrshire and Arran,University Hospital Crosshouse
222,2018Q2,Elective Inpatients,General Medicine,40,335,60,468,NHS Ayrshire and Arran,University Hospital Crosshouse
223,2018Q3,Elective Inpatients,General Medicine,28,145,45,198,NHS Ayrshire and Arran,University Hospital Crosshouse
224,2018Q4,Elective Inpatients,General Medicine,30,75,45,115,NHS Ayrshire and Arran,University Hospital Crosshouse
225,2019Q1,Elective Inpatients,General Medicine,36,115,45,149,NHS Ayrshire and Arran,University Hospital Crosshouse
226,2019Q2,Elective Inpatients,General Medicine,43,195,55,252,NHS Ayrshire and Arran,University Hospital Crosshouse
227,2019Q3,Elective Inpatients,General Medicine,39,200,50,253,NHS Ayrshire and Arran,University Hospital Crosshouse
228,2014Q4,Elective Inpatients,Cardiology,10,70,11,80,NHS Ayrshire and Arran,University Hospital Crosshouse
229,2015Q1,Elective Inpatients,Cardiology,10,45,10,55,NHS Ayrshire and Arran,University Hospital Crosshouse
230,2015Q2,Elective Inpatients,Cardiology,10,40,14,89,NHS Ayrshire and Arran,University Hospital Crosshouse
231,2015Q3,Elective Inpatients,Cardiology,5,20,10,32,NHS Ayrshire and Arran,University Hospital Crosshouse
232,2015Q4,Elective Inpatients,Cardiology,10,45,14,92,NHS Ayrshire and Arran,University Hospital Crosshouse
233,2016Q1,Elective Inpatients,Cardiology,5,5,10,8,NHS Ayrshire and Arran,University Hospital Crosshouse
234,2016Q2,Elective Inpatients,Cardiology,5,5,10,40,NHS Ayrshire and Arran,University Hospital Crosshouse
235,2016Q3,Elective Inpatients,Cardiology,5,0,10,63,NHS Ayrshire and Arran,University Hospital Crosshouse
236,2016Q4,Elective Inpatients,Cardiology,5,0,5,5,NHS Ayrshire and Arran,University Hospital Crosshouse
237,2017Q1,Elective Inpatients,Cardiology,5,25,10,40,NHS Ayrshire and Arran,University Hospital Crosshouse
238,2017Q2,Elective Inpatients,Cardiology,5,0,10,5,NHS Ayrshire and Arran,University Hospital Crosshouse
239,2017Q3,Elective Inpatients,Cardiology,5,0,5,10,NHS Ayrshire and Arran,University Hospital Crosshouse
240,2017Q4,Elective Inpatients,Cardiology,0,0,5,5,NHS Ayrshire and Arran,University Hospital Crosshouse
241,2019Q1,Elective Inpatients,Cardiology,0,0,5,45,NHS Ayrshire and Arran,University Hospital Crosshouse
242,2014Q4,Elective Inpatients,Infectious Diseases,0,7,0,7,NHS Ayrshire and Arran,University Hospital Crosshouse
